Time (years),Data_1,Data_2
2390380000.0,690069.9413854695,
2394848000.0,689591.621351209,
2399316000.0,689113.6328631317,
2403784000.0,688635.9756914272,
2408252000.0,688158.6496064446,
2412720000.0,687681.654378692,
2417188000.0,687204.9897788366,
2421656000.0,686728.6555777047,
2426124000.0,686252.6515462813,
2430592000.0,685776.9774557102,
2435060000.0,685301.6330772939,
2439528000.0,684826.6181824933,
2443996000.0,684351.9325429277,
2448464000.0,683877.5759303748,
2452932000.0,683403.5481167705,
2457400000.0,682929.8488742086,
2461868000.0,682456.4779749413,
2466336000.0,681983.435191378,
2470804000.0,681510.7202960865,
2475272000.0,681038.333061792,
2479740000.0,680566.2732613769,
2484208000.0,680094.5406678816,
2488676000.0,679623.1350545035,
2493144000.0,679152.0561945972,
2497612000.0,678681.3038616744,
2502080000.0,678210.877829404,
2506548000.0,677740.7778716114,
2511016000.0,677271.0037622792,
2515484000.0,676801.5552755464,
2519952000.0,676332.4321857085,
2524420000.0,675863.6342672178,
2528888000.0,675395.1612946825,
2533356000.0,674927.0130428673,
2537824000.0,674459.1892866929,
2542292000.0,673991.689801236,
2546760000.0,673524.5143617295,
2551228000.0,673057.6627435617,
2555696000.0,672591.1347222767,
2560164000.0,672124.9300735743,
2564632000.0,671659.0485733098,
2569100000.0,671193.4899974936,
2573568000.0,670728.2541222916,
2578036000.0,670263.3407240248,
2582504000.0,669798.7495791692,
2586972000.0,669334.4804643558,
2591440000.0,668870.5331563704,
2595908000.0,668406.9074321535,
2600376000.0,667943.6030688001,
2604844000.0,667480.6198435599,
2609312000.0,667017.957533837,
2613780000.0,666555.6159171895,
2618248000.0,666093.5947713301,
2622716000.0,665631.8938741253,
2627184000.0,665170.5130035956,
2631652000.0,664709.4519379156,
2636120000.0,664248.7104554133,
2640588000.0,663788.2883345706,
2645056000.0,663328.1853540228,
2649524000.0,662868.4012925586,
2653992000.0,662408.9359291204,
2658460000.0,661949.7890428035,
2662928000.0,661490.9604128562,
2667396000.0,661032.4498186802,
2671864000.0,660574.2570398297,
2676332000.0,660116.3818560122,
2680800000.0,659658.8240470872,
2685268000.0,659201.5833930675,
2689736000.0,658744.6596741179,
2694204000.0,658288.0526705559,
2698672000.0,657831.762162851,
2703140000.0,657375.7879316251,
2707608000.0,656920.129757652,
2712076000.0,656464.7874218574,
2716544000.0,656009.760705319,
2721012000.0,655555.0493892663,
2725480000.0,655100.6532550803,
2729948000.0,654646.5720842936,
2734416000.0,654192.8056585902,
2738884000.0,653739.3537598053,
2743352000.0,653286.2161699256,
2747820000.0,652833.3926710888,
2752288000.0,652380.8830455835,
2756756000.0,651928.6870758493,
2761224000.0,651476.8045444766,
2765692000.0,651025.2352342063,
2770160000.0,650573.9789279304,
2774628000.0,650123.0354086908,
2779096000.0,649672.4044596802,
2783564000.0,649222.0858642414,
2788032000.0,648772.0794058673,
2792500000.0,648322.3848682011,
2796968000.0,647873.0020350358,
2801436000.0,647423.9306903143,
2805904000.0,646975.1706181292,
2810372000.0,646526.721602723,
2814840000.0,646078.5834284874,
2819308000.0,645630.7558799637,
2823776000.0,645183.2387418428,
2828244000.0,644736.0317989644,
2832712000.0,644289.1348363175,
2837180000.0,643842.5476390403,
2841648000.0,643396.2699924198,
2846116000.0,642950.3016818917,
2850584000.0,642504.6424930407,
2855052000.0,642059.2922115999,
2859520000.0,641614.2506234511,
2863988000.0,641169.5175146244,
2868456000.0,640725.0926712982,
2872924000.0,640280.9758797991,
2877392000.0,639837.1669266019,
2881860000.0,639393.6655983293,
2886328000.0,638950.4716817519,
2890796000.0,638507.5849637883,
2895264000.0,638065.0052315044,
2899732000.0,637622.7322721143,
2904200000.0,637180.765872979,
2908668000.0,636739.105821607,
2913136000.0,636297.7519056546,
2917604000.0,635856.7039129245,
2922072000.0,635415.9616313671,
2926540000.0,634975.5248490795,
2931008000.0,634535.3933543059,
2935476000.0,634095.5669354368,
2939944000.0,633656.0453810099,
2944412000.0,633216.8284797093,
2948880000.0,632777.9160203655,
2953348000.0,632339.3077919554,
2957816000.0,631901.0035836021,
2962284000.0,631463.0031845751,
2966752000.0,631025.3063842899,
2971220000.0,630587.9129723076,
2975688000.0,630150.8227383357,
2980156000.0,629714.0354722271,
2984624000.0,629277.5509639805,
2989092000.0,628841.3690037401,
2993560000.0,628405.4893817957,
2998028000.0,627969.9118885824,
3002496000.0,627534.6363146803,
3006964000.0,627099.6624508151,
3011432000.0,626664.9900878572,
3015900000.0,626230.6190168222,
3020368000.0,625796.5490288704,
3024836000.0,625362.779915307,
3029304000.0,624929.3114675815,
3033772000.0,624496.1434772885,
3038240000.0,624063.2757361667,
3042708000.0,623630.7080360992,
3047176000.0,623198.4401691133,
3051644000.0,622766.4719273808,
3056112000.0,622334.803103217,
3060580000.0,621903.4334890817,
3065048000.0,621472.3628775781,
3069516000.0,621041.5910614536,
3073984000.0,620611.1178335989,
3078452000.0,620180.9429870483,
3082920000.0,619751.0663149798,
3087388000.0,619321.4876107145,
3091856000.0,618892.206667717,
3096324000.0,618463.2232795947,
3100792000.0,618034.5372400985,
3105260000.0,617606.1483431219,
3109728000.0,617178.0563827014,
3114196000.0,616750.2611530162,
3118664000.0,616322.7624483884,
3123132000.0,615895.5600632824,
3127600000.0,615468.6537923052,
3132068000.0,615042.043430206,
3136536000.0,614615.7287718765,
3141004000.0,614189.7096123506,
3145472000.0,613763.9857468038,
3149940000.0,613338.5569705542,
3154408000.0,612913.4230790613,
3158876000.0,612488.5838679267,
3163344000.0,612064.0391328936,
3167812000.0,611639.7886698465,
3172280000.0,611215.8322748117,
3176748000.0,610792.1697439568,
3181216000.0,610368.8008735906,
3185684000.0,609945.7254601633,
3190152000.0,609522.943300266,
3194620000.0,609100.4541906308,
3199088000.0,608678.2579281308,
3203556000.0,608256.3543097798,
