Time (years),Data_1,Data_2
17795.0,100000.0,99999.99999999993
17795.5,100000.0,99999.99999999993
17796.0,100000.0,99999.99999999993
17796.5,100000.0,99999.99999999993
17797.0,100000.0,99999.99999999993
17797.5,100000.0,99999.99999999993
17798.0,100000.0,99999.99999999993
17798.5,100000.0,99999.99999999993
17799.0,100000.0,99999.99999999993
17799.5,100000.0,99999.99999999993
17800.0,100000.0,99999.99999999993
17800.5,100000.0,99999.99999999993
17801.0,100000.0,99999.99999999993
17801.5,100000.0,99999.99999999993
17802.0,100000.0,99999.99999999993
17802.5,100000.0,99999.99999999993
17803.0,100000.0,99999.99999999993
17803.5,100000.0,99999.99999999993
17804.0,100000.0,99999.99999999993
17804.5,100000.0,99999.99999999993
17805.0,100000.0,99999.99999999993
17805.5,100000.0,99999.99999999993
17806.0,100000.0,99999.99999999993
17806.5,100000.0,99999.99999999993
17807.0,100000.0,99999.99999999993
17807.5,100000.0,99999.99999999993
17808.0,100000.0,99999.99999999993
17808.5,100000.0,99999.99999999993
17809.0,100000.0,99999.99999999993
17809.5,100000.0,99999.99999999993
17810.0,100000.0,99999.99999999993
17810.5,100000.0,99999.99999999993
17811.0,100000.0,99999.99999999993
17811.5,100000.0,99999.99999999993
17812.0,100000.0,99999.99999999993
17812.5,100000.0,99999.99999999993
17813.0,100000.0,99999.99999999993
17813.5,100000.0,99999.99999999993
17814.0,100000.0,99999.99999999993
17814.5,100000.0,99999.99999999993
17815.0,100000.0,99999.99999999993
17815.5,100000.0,99999.99999999993
17816.0,100000.0,99999.99999999993
17816.5,100000.0,99999.99999999993
17817.0,100000.0,99999.99999999993
17817.5,100000.0,99999.99999999993
17818.0,100000.0,99999.99999999993
17818.5,100000.0,99999.99999999993
17819.0,100000.0,99999.99999999993
17819.5,100000.0,99999.99999999993
17820.0,100000.0,99999.99999999993
17820.5,100000.0,99999.99999999993
17821.0,100000.0,99999.99999999993
17821.5,100000.0,99999.99999999993
17822.0,100000.0,99999.99999999993
17822.5,100000.0,99999.99999999993
17823.0,100000.0,99999.99999999993
17823.5,100000.0,99999.99999999993
17824.0,100000.0,99999.99999999993
17824.5,100000.0,99999.99999999993
17825.0,100000.0,99999.99999999993
17825.5,100000.0,99999.99999999993
17826.0,100000.0,99999.99999999993
17826.5,100000.0,99999.99999999993
17827.0,100000.0,99999.99999999993
17827.5,100000.0,99999.99999999993
17828.0,100000.0,99999.99999999993
17828.5,100000.0,99999.99999999993
17829.0,100000.0,99999.99999999993
17829.5,100000.0,99999.99999999993
17830.0,100000.0,99999.99999999993
17830.5,100000.0,99999.99999999993
17831.0,100000.0,99999.99999999993
17831.5,100000.0,99999.99999999993
17832.0,100000.0,99999.99999999993
17832.5,100000.0,99999.99999999993
17833.0,100000.0,99999.99999999993
17833.5,100000.0,99999.99999999993
17834.0,100000.0,99999.99999999993
17834.5,100000.0,99999.99999999993
17835.0,100000.0,99999.99999999993
17835.5,100000.0,99999.99999999993
17836.0,100000.0,99999.99999999993
17836.5,100000.0,99999.99999999993
17837.0,100000.0,99999.99999999993
17837.5,100000.0,99999.99999999993
17838.0,100000.0,99999.99999999993
17838.5,100000.0,99999.99999999993
17839.0,100000.0,99999.99999999993
17839.5,100000.0,99999.99999999993
17840.0,100000.0,99999.99999999993
17840.5,100000.0,99999.99999999993
17841.0,100000.0,99999.99999999993
17841.5,100000.0,99999.99999999993
17842.0,100000.0,99999.99999999993
17842.5,100000.0,99999.99999999993
17843.0,100000.0,99999.99999999993
17843.5,100000.0,99999.99999999993
17844.0,100000.0,99999.99999999993
17844.5,100000.0,99999.99999999993
17845.0,100000.0,99999.99999999993
17845.5,100000.0,99999.99999999993
17846.0,100000.0,99999.99999999993
17846.5,100000.0,99999.99999999993
17847.0,100000.0,99999.99999999993
17847.5,100000.0,99999.99999999993
17848.0,100000.0,99999.99999999993
17848.5,100000.0,99999.99999999993
17849.0,100000.0,99999.99999999993
17849.5,100000.0,99999.99999999993
17850.0,100000.0,99999.99999999993
17850.5,100000.0,99999.99999999993
17851.0,100000.0,99999.99999999993
17851.5,100000.0,99999.99999999993
17852.0,100000.0,99999.99999999993
17852.5,100000.0,99999.99999999993
17853.0,100000.0,99999.99999999993
17853.5,100000.0,99999.99999999993
17854.0,100000.0,99999.99999999993
17854.5,100000.0,99999.99999999993
17855.0,100000.0,99999.99999999993
17855.5,100000.0,99999.99999999993
17856.0,100000.0,99999.99999999993
17856.5,100000.0,99999.99999999993
17857.0,100000.0,99999.99999999993
17857.5,100000.0,99999.99999999993
17858.0,100000.0,99999.99999999993
17858.5,100000.0,99999.99999999993
17859.0,100000.0,99999.99999999993
17859.5,100000.0,99999.99999999993
17860.0,100000.0,99999.99999999993
17860.5,100000.0,99999.99999999993
17861.0,100000.0,99999.99999999993
17861.5,100000.0,99999.99999999993
17862.0,100000.0,99999.99999999993
17862.5,100000.0,99999.99999999993
17863.0,100000.0,99999.99999999993
17863.5,100000.0,99999.99999999993
17864.0,100000.0,99999.99999999993
17864.5,100000.0,99999.99999999993
17865.0,100000.0,99999.99999999993
17865.5,100000.0,99999.99999999993
17866.0,100000.0,99999.99999999993
17866.5,100000.0,99999.99999999993
17867.0,100000.0,99999.99999999993
17867.5,100000.0,99999.99999999993
17868.0,100000.0,99999.99999999993
17868.5,100000.0,99999.99999999993
17869.0,100000.0,99999.99999999993
17869.5,100000.0,99999.99999999993
17870.0,100000.0,99999.99999999993
17870.5,100000.0,99999.99999999993
17871.0,100000.0,99999.99999999993
17871.5,100000.0,99999.99999999993
17872.0,100000.0,99999.99999999993
17872.5,100000.0,99999.99999999993
17873.0,100000.0,99999.99999999993
17873.5,100000.0,99999.99999999993
17874.0,100000.0,99999.99999999993
17874.5,100000.0,99999.99999999993
17875.0,100000.0,99999.99999999993
17875.5,100000.0,99999.99999999993
17876.0,100000.0,99999.99999999993
17876.5,100000.0,99999.99999999993
17877.0,100000.0,99999.99999999993
17877.5,100000.0,99999.99999999993
17878.0,100000.0,99999.99999999993
17878.5,100000.0,99999.99999999993
17879.0,100000.0,99999.99999999993
17879.5,100000.0,99999.99999999993
17880.0,100000.0,99999.99999999993
17880.5,100000.0,99999.99999999993
17881.0,100000.0,99999.99999999993
17881.5,100000.0,99999.99999999993
17882.0,100000.0,99999.99999999993
17882.5,100000.0,99999.99999999993
17883.0,100000.0,99999.99999999993
17883.5,100000.0,99999.99999999993
17884.0,100000.0,99999.99999999993
17884.5,100000.0,99999.99999999993
17885.0,100000.0,99999.99999999993
17885.5,100000.0,99999.99999999993
17886.0,100000.0,99999.99999999993
17886.5,100000.0,99999.99999999993
17887.0,100000.0,99999.99999999993
17887.5,100000.0,99999.99999999993
17888.0,100000.0,99999.99999999993
17888.5,100000.0,99999.99999999993
17889.0,100000.0,99999.99999999993
17889.5,100000.0,99999.99999999993
17890.0,100000.0,99999.99999999993
17890.5,100000.0,99999.99999999993
17891.0,100000.0,99999.99999999993
17891.5,100000.0,99999.99999999993
17892.0,100000.0,99999.99999999993
17892.5,100000.0,99999.99999999993
17893.0,100000.0,99999.99999999993
17893.5,100000.0,99999.99999999993
17894.0,100000.0,99999.99999999993
17894.5,100000.0,99999.99999999993
17895.0,100000.0,99999.99999999993
17895.5,100000.0,99999.99999999993
17896.0,100000.0,99999.99999999993
17896.5,100000.0,99999.99999999993
17897.0,100000.0,99999.99999999993
17897.5,100000.0,99999.99999999993
17898.0,100000.0,99999.99999999993
17898.5,100000.0,99999.99999999993
17899.0,100000.0,99999.99999999993
17899.5,100000.0,99999.99999999993
17900.0,100000.0,99999.99999999993
17900.5,100000.0,99999.99999999993
17901.0,100000.0,99999.99999999993
17901.5,100000.0,99999.99999999993
17902.0,100000.0,99999.99999999993
17902.5,100000.0,99999.99999999993
17903.0,100000.0,99999.99999999993
17903.5,100000.0,99999.99999999993
17904.0,100000.0,99999.99999999993
17904.5,100000.0,99999.99999999993
17905.0,100000.0,99999.99999999993
17905.5,100000.0,99999.99999999993
17906.0,100000.0,99999.99999999993
17906.5,100000.0,99999.99999999993
17907.0,100000.0,99999.99999999993
17907.5,100000.0,99999.99999999993
17908.0,100000.0,99999.99999999993
17908.5,100000.0,99999.99999999993
17909.0,100000.0,99999.99999999993
17909.5,100000.0,99999.99999999993
17910.0,100000.0,99999.99999999993
17910.5,100000.0,99999.99999999993
17911.0,100000.0,99999.99999999993
17911.5,100000.0,99999.99999999993
17912.0,100000.0,99999.99999999993
17912.5,100000.0,99999.99999999993
17913.0,100000.0,99999.99999999993
17913.5,100000.0,99999.99999999993
17914.0,100000.0,99999.99999999993
17914.5,100000.0,99999.99999999993
17915.0,100000.0,99999.99999999993
17915.5,100000.0,99999.99999999993
17916.0,100000.0,99999.99999999993
17916.5,100000.0,99999.99999999993
17917.0,100000.0,99999.99999999993
17917.5,100000.0,99999.99999999993
17918.0,100000.0,99999.99999999993
17918.5,100000.0,99999.99999999993
17919.0,100000.0,99999.99999999993
17919.5,100000.0,99999.99999999993
17920.0,100000.0,99999.99999999993
17920.5,100000.0,99999.99999999993
17921.0,100000.0,99999.99999999993
17921.5,100000.0,99999.99999999993
17922.0,100000.0,99999.99999999993
17922.5,100000.0,99999.99999999993
17923.0,100000.0,99999.99999999993
17923.5,100000.0,99999.99999999993
17924.0,100000.0,99999.99999999993
17924.5,100000.0,99999.99999999993
17925.0,100000.0,99999.99999999993
17925.5,100000.0,99999.99999999993
17926.0,100000.0,99999.99999999993
17926.5,100000.0,99999.99999999993
17927.0,100000.0,99999.99999999993
17927.5,100000.0,99999.99999999993
17928.0,100000.0,99999.99999999993
17928.5,100000.0,99999.99999999993
17929.0,100000.0,99999.99999999993
17929.5,100000.0,99999.99999999993
17930.0,100000.0,99999.99999999993
17930.5,100000.0,99999.99999999993
17931.0,100000.0,99999.99999999993
17931.5,100000.0,99999.99999999993
17932.0,100000.0,99999.99999999993
17932.5,100000.0,99999.99999999993
17933.0,100000.0,99999.99999999993
17933.5,100000.0,99999.99999999993
17934.0,100000.0,99999.99999999993
17934.5,100000.0,99999.99999999993
17935.0,100000.0,99999.99999999993
17935.5,100000.0,99999.99999999993
17936.0,100000.0,99999.99999999993
17936.5,100000.0,99999.99999999993
17937.0,100000.0,99999.99999999993
17937.5,100000.0,99999.99999999993
17938.0,100000.0,99999.99999999993
17938.5,100000.0,99999.99999999993
17939.0,100000.0,99999.99999999993
17939.5,100000.0,99999.99999999993
17940.0,100000.0,99999.99999999993
17940.5,100000.0,99999.99999999993
17941.0,100000.0,99999.99999999993
17941.5,100000.0,99999.99999999993
17942.0,100000.0,99999.99999999993
17942.5,100000.0,99999.99999999993
17943.0,100000.0,99999.99999999993
17943.5,100000.0,99999.99999999993
17944.0,100000.0,99999.99999999993
17944.5,100000.0,99999.99999999993
17945.0,100000.0,99999.99999999993
17945.5,100000.0,99999.99999999993
17946.0,100000.0,99999.99999999993
17946.5,100000.0,99999.99999999993
17947.0,100000.0,99999.99999999993
17947.5,100000.0,99999.99999999993
17948.0,100000.0,99999.99999999993
17948.5,100000.0,99999.99999999993
17949.0,100000.0,99999.99999999993
17949.5,100000.0,99999.99999999993
17950.0,100000.0,99999.99999999993
17950.5,100000.0,99999.99999999993
17951.0,100000.0,99999.99999999993
17951.5,100000.0,99999.99999999993
17952.0,100000.0,99999.99999999993
17952.5,100000.0,99999.99999999993
17953.0,100000.0,99999.99999999993
17953.5,100000.0,99999.99999999993
17954.0,100000.0,99999.99999999993
17954.5,100000.0,99999.99999999993
17955.0,100000.0,99999.99999999993
17955.5,100000.0,99999.99999999993
17956.0,100000.0,99999.99999999993
17956.5,100000.0,99999.99999999993
17957.0,100000.0,99999.99999999993
17957.5,100000.0,99999.99999999993
17958.0,100000.0,99999.99999999993
17958.5,100000.0,99999.99999999993
